DATES,ES,PX_BID,PX_ASK,PX_LAST,MATURITY,DAYS_TO_MATURITY,FORECAST,PREMIUM
1999-01-05,29.69,,,,,,0.0,0.0
1999-01-06,25.17,,,,,,0.0,0.0
1999-01-07,32.52,,,,,,0.0,0.0
1999-01-08,33.23,,,,,,0.0,0.0
1999-01-11,36.84,,,,,,0.0,0.0
1999-01-12,37.57,,,,,,0.0,0.0
1999-01-13,39.74,,,,,,0.0,0.0
1999-01-14,39.14,,,,,,0.0,0.0
1999-01-15,38.67,,,,,,0.0,0.0
1999-01-18,38.54,,,,,,0.0,0.0
1999-01-19,38.79,,,,,,0.0,0.0
1999-01-20,35.55,,,,,,0.0,0.0
1999-01-21,36.92,,,,,,0.0,0.0
1999-01-22,39.94,,,,,,0.0,0.0
1999-01-25,40.7,,,,,,0.0,0.0
1999-01-26,42.75,,,,,,0.0,0.0
1999-01-27,41.76,,,,,,0.0,0.0
1999-01-28,39.15,,,,,,0.0,0.0
1999-01-29,37.61,,,,,,0.0,0.0
1999-02-01,37.03,,,,,,0.0,0.0
1999-02-02,38.61,,,,,,0.0,0.0
1999-02-03,39.96,,,,,,0.0,0.0
1999-02-04,38.79,,,,,,0.0,0.0
1999-02-05,37.81,,,,,,0.0,0.0
1999-02-08,38.77,,,,,,0.0,0.0
1999-02-09,39.55,,,,,,0.0,0.0
1999-02-10,40.3,,,,,,0.0,0.0
1999-02-11,37.83,,,,,,0.0,0.0
1999-02-12,36.06,,,,,,0.0,0.0
1999-02-15,37.67,,,,,,0.0,0.0
1999-02-16,36.01,,,,,,0.0,0.0
1999-02-17,36.69,,,,,,0.0,0.0
1999-02-18,35.56,,,,,,0.0,0.0
1999-02-19,33.91,,,,,,0.0,0.0
1999-02-22,32.09,,,,,,0.0,0.0
1999-02-23,31.26,,,,,,0.0,0.0
1999-02-24,30.78,,,,,,0.0,0.0
1999-02-25,31.78,,,,,,0.0,0.0
1999-02-26,30.8,,,,,,0.0,0.0
1999-03-01,32.46,,,,,,0.0,0.0
1999-03-02,32.03,,,,,,0.0,0.0
1999-03-03,31.93,,,,,,0.0,0.0
1999-03-04,30.88,,,,,,0.0,0.0
1999-03-05,29.26,,,,,,0.0,0.0
1999-03-08,29.86,,,,,,0.0,0.0
1999-03-09,28.96,,,,,,0.0,0.0
1999-03-10,27.95,,,,,,0.0,0.0
1999-03-11,27.06,,,,,,0.0,0.0
1999-03-12,26.98,,,,,,0.0,0.0
1999-03-15,27.77,,,,,,0.0,0.0
1999-03-16,27.49,,,,,,0.0,0.0
1999-03-17,28.16,,,,,,0.0,0.0
1999-03-18,28.17,,,,,,0.0,0.0
1999-03-19,26.99,,,,,,0.0,0.0
1999-03-22,27.14,,,,,,0.0,0.0
1999-03-23,28.84,,,,,,0.0,0.0
1999-03-24,29.9,,,,,,0.0,0.0
1999-03-25,28.05,,,,,,0.0,0.0
1999-03-26,28.57,,,,,,0.0,0.0
1999-03-29,27.32,,,,,,0.0,0.0
1999-03-30,27.23,,,,,,0.0,0.0
1999-03-31,25.25,,,,,,0.0,0.0
1999-04-01,24.61,,,,,,0.0,0.0
1999-04-06,24.61,,,,,,0.0,0.0
1999-04-07,25.03,,,,,,0.0,0.0
1999-04-08,24.91,,,,,,0.0,0.0
1999-04-09,24.38,,,,,,0.0,0.0
1999-04-12,25.29,,,,,,0.0,0.0
1999-04-13,24.4,,,,,,0.0,0.0
1999-04-14,25.47,,,,,,0.0,0.0
1999-04-15,26.58,,,,,,0.0,0.0
1999-04-16,25.74,,,,,,0.0,0.0
1999-04-19,25.09,,,,,,0.0,0.0
1999-04-20,26.79,,,,,,0.0,0.0
1999-04-21,25.77,,,,,,0.0,0.0
1999-04-22,25.25,,,,,,0.0,0.0
1999-04-23,25.24,,,,,,0.0,0.0
1999-04-26,25.78,,,,,,0.0,0.0
1999-04-27,24.32,,,,,,0.0,0.0
1999-04-28,24.47,,,,,,0.0,0.0
1999-04-29,24.78,,,,,,0.0,0.0
1999-04-30,23.74,,,,,,0.0,0.0
1999-05-03,24.1,,,,,,0.0,0.0
1999-05-04,24.47,,,,,,0.0,0.0
1999-05-05,25.65,,,,,,0.0,0.0
1999-05-06,26.95,,,,,,0.0,0.0
1999-05-07,27.08,,,,,,0.0,0.0
1999-05-10,27.31,,,,,,0.0,0.0
1999-05-11,26.56,,,,,,0.0,0.0
1999-05-12,27.59,,,,,,0.0,0.0
1999-05-14,28.31,,,,,,0.0,0.0
1999-05-17,30.53,,,,,,0.0,0.0
1999-05-18,30.83,,,,,,0.0,0.0
1999-05-19,28.18,,,,,,0.0,0.0
1999-05-20,25.34,,,,,,0.0,0.0
1999-05-21,23.45,,,,,,0.0,0.0
1999-05-25,26.62,,,,,,0.0,0.0
1999-05-26,26.66,,,,,,0.0,0.0
1999-05-27,27.25,,,,,,0.0,0.0
1999-05-28,25.57,,,,,,0.0,0.0
1999-05-31,24.99,,,,,,0.0,0.0
1999-06-01,25.16,,,,,,0.0,0.0
1999-06-02,25.21,,,,,,0.0,0.0
1999-06-03,25.64,,,,,,0.0,0.0
1999-06-04,23.38,,,,,,0.0,0.0
1999-06-07,23.24,,,,,,0.0,0.0
1999-06-08,23.13,,,,,,0.0,0.0
1999-06-09,22.64,,,,,,0.0,0.0
1999-06-10,23.46,,,,,,0.0,0.0
1999-06-11,22.42,,,,,,0.0,0.0
1999-06-14,23.37,,,,,,0.0,0.0
1999-06-15,23.09,,,,,,0.0,0.0
1999-06-16,21.77,,,,,,0.0,0.0
1999-06-17,20.89,,,,,,0.0,0.0
1999-06-18,21.1,,,,,,0.0,0.0
1999-06-21,20.65,,,,,,0.0,0.0
1999-06-22,21.02,,,,,,0.0,0.0
1999-06-23,22.19,,,,,,0.0,0.0
1999-06-24,22.78,,,,,,0.0,0.0
1999-06-25,22.33,,,,,,0.0,0.0
1999-06-28,23.05,,,,,,0.0,0.0
1999-06-29,23.15,,,,,,0.0,0.0
1999-06-30,23.34,,,,,,0.0,0.0
1999-07-01,21.63,,,,,,0.0,0.0
1999-07-02,20.42,,,,,,0.0,0.0
1999-07-05,19.93,,,,,,0.0,0.0
1999-07-06,20.61,,,,,,0.0,0.0
1999-07-07,21.32,,,,,,0.0,0.0
1999-07-08,21.47,,,,,,0.0,0.0
1999-07-09,20.73,,,,,,0.0,0.0
1999-07-12,21.04,,,,,,0.0,0.0
1999-07-13,22.48,,,,,,0.0,0.0
1999-07-14,22.54,,,,,,0.0,0.0
1999-07-15,20.11,,,,,,0.0,0.0
1999-07-16,19.77,,,,,,0.0,0.0
1999-07-19,19.92,,,,,,0.0,0.0
1999-07-20,21.83,,,,,,0.0,0.0
1999-07-21,24.26,,,,,,0.0,0.0
1999-07-22,25.29,,,,,,0.0,0.0
1999-07-23,25.62,,,,,,0.0,0.0
1999-07-26,28.26,,,,,,0.0,0.0
1999-07-27,27.44,,,,,,0.0,0.0
1999-07-28,26.34,,,,,,0.0,0.0
1999-07-29,28.0,,,,,,0.0,0.0
1999-07-30,26.9,,,,,,0.0,0.0
1999-08-02,28.07,,,,,,0.0,0.0
1999-08-03,28.85,,,,,,0.0,0.0
1999-08-04,29.65,,,,,,0.0,0.0
1999-08-05,32.88,,,,,,0.0,0.0
